estratopri,ur,coll1,sexo_std,ur_num,age_gender_clean,ed_clean,colocup4an_clean,etid_clean,cs1_num,cs5_num,cs7_num,infrax_clean,wc1_clean,wc2_clean,wc3_clean,trust_num,leg_num,l1_clean,just1_clean,resp1_clean,poley1_clean,poley2_clean,poley3_clean,pr1_clean,pr5_num,pet1_num,pet3_num,effec1_num,effec2_num,eff1_num,eff2_num,aoj21_clean,prot3_clean,colseg_clean,cp6_clean,cp13_clean,colcp8a_clean,pn4_clean,noncontacts_num,refusal_num,resp1_likert,just1_likert,poley1_likert,poley2_likert,poley3_likert
Pacífica,Urbano,,Mujer,1,Mujer adulta joven,16,Trabajando?,Mestiza,7,4,4,Más de 1 hora y hasta 3 horas,Sí,Sí,No,4,2,Izquierda,Nunca,Algunas veces,Nunca,Rara vez,Rara vez,Otra situación,2,6,2,2,4,4,6,Guerrillas,No ha participado,Peor,Una vez a la semana,Una o dos veces al mes,Una o dos veces al mes,Satisfecho(a),0,0,3.0,1.0,1.0,2.0,2.0
Pacífica,Rural,,Mujer,0,Hombre adulto joven,11,No trabaja y no está buscando trabajo?,Mestiza,1,1,1,Más de 1 hora y hasta 3 horas,No,Sí,Sí,1,1,Derecha,Nunca,Nunca,Nunca,Rara vez,Siempre,Alquilada,1,1,1,7,7,1,1,Crimen organiado y narcotraficantes,No ha participado,Peor,Nunca,Nunca,Nunca,Insatisfecho(a),0,0,1.0,1.0,1.0,2.0,5.0
Pacífica,Urbano,,Hombre,1,Mujer adulta,13,Trabajando?,Indígena,3,4,5,Más de 1 hora y hasta 3 horas,No,No,No,1,4,6,Nunca,Rara vez,Siempre,Rara vez,Algunas veces,Prestada/cedida o compartida,4,3,4,1,1,,2,Guerrillas,No ha participado,Peor,Nunca,Nunca,Nunca,Insatisfecho(a),0,0,2.0,1.0,5.0,2.0,3.0
Pacífica,Urbano,,Mujer,1,Mujer adulta,11,Está incapacitado permanentemente para trabajar?,Mestiza,3,2,5,Más de 3 horas,Sí,Sí,No,1,1,6,Nunca,Rara vez,Algunas veces,Frecuentemente,Siempre,Alquilada,1,7,6,1,2,1,2,Crimen organiado y narcotraficantes,Sí ha participado,Igual,Nunca,Nunca,Nunca,Muy insatisfecho(a),0,0,2.0,1.0,3.0,4.0,5.0
Pacífica,Urbano,,Hombre,1,Mujer adulta,16,Trabajando?,Mestiza,7,3,3,Entre 10 y hasta 30 minutos,No,No,No,5,4,Izquierda,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Siempre,Prestada/cedida o compartida,4,5,6,1,4,1,5,Crimen organiado y narcotraficantes,No ha participado,Igual,Nunca,Nunca,Nunca,Insatisfecho(a),0,0,3.0,3.0,3.0,3.0,5.0
Pacífica,Rural,,Mujer,0,Mujer adulta mayor,11,No trabaja y no está buscando trabajo?,Otra,7,7,5,Más de 1 hora y hasta 3 horas,No,Sí,No,1,1,7,Algunas veces,Nunca,Nunca,Nunca,,Alquilada,1,5,7,7,7,5,5,Guerrillas,No ha participado,Peor,Una o dos veces al año,Nunca,Una o dos veces al año,Insatisfecho(a),0,0,1.0,3.0,1.0,1.0,
Pacífica,Urbano,,Mujer,1,Mujer adulta,11,Se dedica a los quehaceres de su hogar?,Mestiza,3,3,5,Más de 1 hora y hasta 3 horas,No,No,No,3,3,5,Rara vez,Rara vez,Frecuentemente,Frecuentemente,,Propia,2,3,5,3,3,1,1,Guerrillas,No ha participado,Peor,Una vez a la semana,Una o dos veces al año,Una o dos veces al año,Muy insatisfecho(a),0,0,2.0,2.0,4.0,4.0,
Pacífica,Urbano,,Hombre,1,Hombre adulto,11,Trabajando?,Mestiza,6,6,4,Más de 30 minutos y hasta una hora,No,No,No,4,6,3,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Rara vez,5,4,6,6,3,4,6,3,Guerrillas,No ha participado,Peor,Una o dos veces al año,Una o dos veces al año,Una o dos veces al año,Muy insatisfecho(a),0,0,3.0,3.0,3.0,3.0,2.0
Pacífica,Urbano,,Mujer,1,Hombre adulto mayor,12,Trabajando?,Mestiza,5,5,5,Más de 1 hora y hasta 3 horas,No,Sí,Sí,1,1,8,Algunas veces,Rara vez,Algunas veces,Siempre,Siempre,Alquilada,1,1,1,1,2,3,3,Guerrillas,Sí ha participado,Peor,Nunca,Nunca,Nunca,Insatisfecho(a),0,0,2.0,3.0,3.0,5.0,5.0
Pacífica,Rural,,Mujer,0,Mujer adulta,11,Trabajando?,Blanca,5,2,4,Más de 1 hora y hasta 3 horas,No,No,No,2,4,5,Rara vez,Rara vez,Rara vez,Rara vez,Rara vez,Alquilada,1,5,4,3,2,1,1,Guerrillas,No ha participado,Peor,Nunca,Nunca,Nunca,Insatisfecho(a),0,0,2.0,2.0,2.0,2.0,2.0
Pacífica,Urbano,,Hombre,1,Hombre adulto joven,11,Es estudiante?,Blanca,5,6,4,Más de 30 minutos y hasta una hora,No,No,No,4,5,4,Frecuentemente,Siempre,Frecuentemente,Frecuentemente,Rara vez,Prestada/cedida o compartida,3,5,6,4,4,5,4,Guerrillas,Sí ha participado,Igual,Una o dos veces al mes,Nunca,Nunca,Insatisfecho(a),0,0,5.0,4.0,4.0,4.0,2.0
Pacífica,Rural,,Hombre,0,Hombre adulto mayor,5,Trabajando?,Mestiza,6,3,4,Más de 3 horas,No,No,No,4,4,Izquierda,Rara vez,Nunca,Algunas veces,Algunas veces,Frecuentemente,5,5,7,7,6,2,1,6,Delincuentes comunes,No ha participado,Peor,Una vez a la semana,Nunca,Una o dos veces al año,Muy satisfecho(a),0,0,1.0,2.0,3.0,3.0,4.0
Pacífica,Urbano,,Hombre,1,Hombre adulto,13,Está incapacitado permanentemente para trabajar?,Otra,4,1,1,Entre 10 y hasta 30 minutos,No,No,No,3,6,5,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Nunca,Propia,1,1,1,3,4,1,3,Guerrillas,No ha participado,Peor,Nunca,Nunca,Nunca,Muy satisfecho(a),0,0,4.0,4.0,4.0,4.0,1.0
Pacífica,Urbano,,Mujer,1,Mujer adulta joven,12,Trabajando?,Indígena,5,5,3,Entre 10 y hasta 30 minutos,No,Sí,Sí,2,4,5,Algunas veces,Rara vez,Frecuentemente,Frecuentemente,Algunas veces,Propia,3,4,4,3,3,5,4,Guerrillas,No ha participado,Igual,Una o dos veces al año,Una o dos veces al año,Nunca,Insatisfecho(a),0,0,2.0,3.0,4.0,4.0,3.0
Pacífica,Urbano,,Hombre,1,Mujer adulta mayor,2,Se dedica a los quehaceres de su hogar?,Mestiza,7,6,4,Más de 3 horas,No,No,No,3,4,,Rara vez,Rara vez,Nunca,Algunas veces,Algunas veces,Otra situación,7,5,5,1,4,5,,Pandillas,No ha participado,Igual,Una vez a la semana,Nunca,Una o dos veces al año,Insatisfecho(a),0,0,2.0,2.0,1.0,3.0,3.0
Pacífica,Urbano,,Hombre,1,Mujer adulta,5,No está trabajando en este momento pero tiene trabajo?,Indígena,5,4,6,Entre 10 y hasta 30 minutos,No,No,No,6,5,2,Nunca,Algunas veces,Nunca,Nunca,Nunca,5,6,4,3,2,5,2,3,Guerrillas,No ha participado,Igual,Una o dos veces al mes,Nunca,Nunca,Muy insatisfecho(a),0,0,3.0,1.0,1.0,1.0,1.0
Pacífica,Urbano,,Hombre,1,Mujer adulta mayor,,Se dedica a los quehaceres de su hogar?,Mestiza,5,4,3,Más de 30 minutos y hasta una hora,No,Sí,No,4,3,5,Frecuentemente,Frecuentemente,,,,Prestada/cedida o compartida,3,5,5,3,3,2,3,Guerrillas,No ha participado,Peor,Nunca,Nunca,Nunca,Insatisfecho(a),0,0,4.0,4.0,,,
Pacífica,Urbano,,Hombre,1,Hombre adulto mayor,5,Trabajando?,Mestiza,4,3,5,Más de 1 hora y hasta 3 horas,No,No,No,,5,3,Frecuentemente,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Otra situación,3,5,6,6,6,2,4,Delincuentes comunes,No ha participado,Igual,Una vez a la semana,,Nunca,Insatisfecho(a),0,0,3.0,4.0,3.0,3.0,3.0
Pacífica,Urbano,,Hombre,1,Mujer adulta,12,No está trabajando en este momento pero tiene trabajo?,Mestiza,5,2,2,Más de 30 minutos y hasta una hora,No,No,No,2,4,Izquierda,Algunas veces,Rara vez,Rara vez,Rara vez,Nunca,Prestada/cedida o compartida,4,2,3,1,3,2,3,Guerrillas,No ha participado,Peor,Nunca,Nunca,Una o dos veces al año,Muy satisfecho(a),0,0,2.0,3.0,2.0,2.0,1.0
Pacífica,Urbano,,Mujer,1,Mujer adulta joven,11,Está buscando trabajo activamente?,Otra,4,5,4,Entre 10 y hasta 30 minutos,No,No,No,5,5,Izquierda,Frecuentemente,Frecuentemente,Algunas veces,,Rara vez,Otra situación,5,5,4,4,5,5,5,Guerrillas,No ha participado,Peor,Una o dos veces al mes,Nunca,Nunca,Insatisfecho(a),0,0,4.0,4.0,3.0,,2.0
Pacífica,Urbano,,Mujer,1,Hombre adulto,11,Trabajando?,,5,5,5,Más de 30 minutos y hasta una hora,No,Sí,No,5,6,Derecha,Rara vez,,Rara vez,Frecuentemente,Rara vez,5,5,5,5,5,5,3,5,Guerrillas,No ha participado,Peor,Nunca,Nunca,Una o dos veces al año,Insatisfecho(a),0,0,,2.0,2.0,4.0,2.0
Pacífica,Urbano,,Hombre,1,Hombre adulto joven,7,Trabajando?,Mestiza,7,5,4,Más de 1 hora y hasta 3 horas,No,No,No,3,3,3,Rara vez,Algunas veces,,,Algunas veces,Otra situación,4,5,3,5,4,1,5,Guerrillas,No ha participado,Peor,Una o dos veces al año,Una o dos veces al año,Una o dos veces al año,Insatisfecho(a),0,0,3.0,2.0,,,3.0
Pacífica,Urbano,,Mujer,1,Hombre adulto mayor,11,Trabajando?,Blanca,5,3,2,Más de 30 minutos y hasta una hora,Sí,No,No,5,1,5,Algunas veces,Nunca,Rara vez,Rara vez,Rara vez,Prestada/cedida o compartida,1,7,7,3,3,3,3,Guerrillas,No ha participado,Peor,Una o dos veces al mes,Nunca,Una o dos veces al mes,Satisfecho(a),0,0,1.0,3.0,2.0,2.0,2.0
Pacífica,Urbano,,Hombre,1,Mujer adulta joven,16,Trabajando?,Mestiza,6,4,5,Entre 10 y hasta 30 minutos,No,No,No,4,4,4,Algunas veces,Rara vez,Algunas veces,Algunas veces,Algunas veces,6,5,6,7,3,3,2,4,Guerrillas,No ha participado,Igual,Nunca,Una o dos veces al año,Nunca,Insatisfecho(a),0,0,2.0,3.0,3.0,3.0,3.0
Pacífica,Urbano,,Mujer,1,Hombre adulto mayor,Ninguno,Trabajando?,Indígena,3,2,5,Entre 10 y hasta 30 minutos,No,No,No,5,,Derecha,,Siempre,Nunca,Nunca,,5,,6,,4,7,4,2,Guerrillas,No ha participado,Igual,Una o dos veces al mes,Nunca,Una vez a la semana,Insatisfecho(a),0,0,5.0,,1.0,1.0,
Pacífica,Urbano,,Hombre,1,Hombre adulto mayor,14,Trabajando?,Otra,7,7,7,Más de 30 minutos y hasta una hora,Sí,No,No,7,7,Izquierda,,Siempre,Nunca,Nunca,Nunca,5,3,7,7,,7,1,5,Pandillas,No ha participado,Igual,Una o dos veces al mes,Nunca,Nunca,Muy insatisfecho(a),0,0,5.0,,1.0,1.0,1.0
