year,estratopri,ur,sexo_std,etid,wealth,wc1,wc2,wc3,l1,pn4,eff1,eff2,cp6,cp13,colcp8a,prot3,exc13,exc14,exc15,exc16,exc18,exc20,exc07
2004,Pacífica,Rural,Hombre,Mestiza,2,No,No,No,,Muy insatisfecho(a),,,Nunca,Nunca,Nunca,,No,No,No,No,,,Muy generalizada
2004,Caribe,Urbano,Hombre,Blanca,Menos rico,No,No,No,,Muy insatisfecho(a),,,Nunca,Nunca,Nunca,,,,No,No,,,Poco generalizada
2004,Bogotá D.C.,Urbano,Mujer,Blanca,3,No,No,No,,Satisfecho(a),,,Una o dos veces al mes,Nunca,Nunca,,No,No,No,No,,,
2004,Andina,Rural,Mujer,Mestiza,Menos rico,No,Sí,No,,Insatisfecho(a),,,Nunca,Nunca,Nunca,,No,,,,,,Algo generalizada
2004,Andina,Rural,Hombre,Indígena,Menos rico,Sí,No,No,,,,,Nunca,Nunca,Una o dos veces al mes,,No,,,No,,,
2004,Orinoquía-Amazonía,Urbano,Hombre,Mestiza,Menos rico,No,No,No,,Satisfecho(a),,,Una vez a la semana,,Nunca,,,,,,,,Muy generalizada
2004,Caribe,Rural,Mujer,Blanca,2,No,No,No,,Satisfecho(a),,,Una o dos veces al mes,Nunca,Nunca,,,,,,,,
2004,Orinoquía-Amazonía,Urbano,Hombre,Blanca,Más rico,No,No,No,,Muy satisfecho(a),,,Nunca,Nunca,Nunca,,No,,No,No,,,Muy generalizada
2004,Pacífica,Urbano,Hombre,Mestiza,Más rico,No,No,No,,Satisfecho(a),,,Nunca,Nunca,Nunca,,No,,,,,,Algo generalizada
2004,Orinoquía-Amazonía,Rural,Hombre,Mestiza,2,No,No,No,,Satisfecho(a),,,Una vez a la semana,,Una o dos veces al año,,No,No,No,No,,,Muy generalizada
2004,Pacífica,Urbano,Hombre,Blanca,3,No,No,No,,Satisfecho(a),,,Nunca,Nunca,Nunca,,No,,,,,,Poco generalizada
2004,Andina,Urbano,Mujer,Mestiza,3,Sí,No,No,,,,,Una vez a la semana,Nunca,Nunca,,Sí,,,,,,
2004,Andina,Urbano,Hombre,Blanca,4,No,No,No,,Satisfecho(a),,,Una vez a la semana,Una o dos veces al año,Nunca,,No,,,,,,Muy generalizada
2004,Caribe,Rural,Hombre,Blanca,2,No,No,No,,Satisfecho(a),,,Nunca,Una o dos veces al año,Una vez a la semana,,No,,No,No,,,Algo generalizada
2004,Pacífica,Urbano,Mujer,Mestiza,3,No,No,No,,Satisfecho(a),,,Una vez a la semana,Nunca,Nunca,,,,No,No,,,Muy generalizada
